Path,Bam,Label,Locality,Individual,Collection Locality,Geographic Region
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_022_R1.sort.proper.rmdup.bam,RD_GSJS_022,RD_GSJS_022,GSJS_CS03,65,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_023_R1.sort.proper.rmdup.bam,RD_GSJS_023,RD_GSJS_023,GSJS_CS03,66,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_024_R1.sort.proper.rmdup.bam,RD_GSJS_024,RD_GSJS_024,GSJS_CS03,67,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_025_R1.sort.proper.rmdup.bam,RD_GSJS_025,RD_GSJS_025,GSJS_CS03,68,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_026_R1.sort.proper.rmdup.bam,RD_GSJS_026,RD_GSJS_026,GSJS_CS03,69,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_027_R1.sort.proper.rmdup.bam,RD_GSJS_027,RD_GSJS_027,GSJS_CS03,70,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_028_R1.sort.proper.rmdup.bam,RD_GSJS_028,RD_GSJS_028,GSJS_CS03,71,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_029_R1.sort.proper.rmdup.bam,RD_GSJS_029,RD_GSJS_029,GSJS_CS03,72,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_030_R1.sort.proper.rmdup.bam,RD_GSJS_030,RD_GSJS_030,GSJS_CS03,73,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_031_R1.sort.proper.rmdup.bam,RD_GSJS_031,RD_GSJS_031,GSJS_CS02,74,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_032_R1.sort.proper.rmdup.bam,RD_GSJS_032,RD_GSJS_032,GSJS_CS02,75,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_033_R1.sort.proper.rmdup.bam,RD_GSJS_033,RD_GSJS_033,GSJS_CS02,76,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_034_R1.sort.proper.rmdup.bam,RD_GSJS_034,RD_GSJS_034,GSJS_CS02,77,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_035_R1.sort.proper.rmdup.bam,RD_GSJS_035,RD_GSJS_035,GSJS_CS02,78,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_036_R1.sort.proper.rmdup.bam,RD_GSJS_036,RD_GSJS_036,GSJS_CS02,79,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_037_R1.sort.proper.rmdup.bam,RD_GSJS_037,RD_GSJS_037,GSJS_CS02,80,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_038_R1.sort.proper.rmdup.bam,RD_GSJS_038,RD_GSJS_038,GSJS_CS02,81,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_039_R1.sort.proper.rmdup.bam,RD_GSJS_039,RD_GSJS_039,GSJS_CS02,82,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_040_R1.sort.proper.rmdup.bam,RD_GSJS_040,RD_GSJS_040,GSJS_CS02,83,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_041_R1.sort.proper.rmdup.bam,RD_GSJS_041,RD_GSJS_041,GSJS_CS04,84,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_042_R1.sort.proper.rmdup.bam,RD_GSJS_042,RD_GSJS_042,GSJS_CS04,85,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_043_R1.sort.proper.rmdup.bam,RD_GSJS_043,RD_GSJS_043,GSJS_CS04,86,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_044_R1.sort.proper.rmdup.bam,RD_GSJS_044,RD_GSJS_044,GSJS_CS04,87,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_047_R1.sort.proper.rmdup.bam,RD_GSJS_047,RD_GSJS_047,GSJS_CS04,90,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_048_R1.sort.proper.rmdup.bam,RD_GSJS_048,RD_GSJS_048,GSJS_CS04,91,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_049_R1.sort.proper.rmdup.bam,RD_GSJS_049,RD_GSJS_049,GSJS_CS11,92,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_050_R1.sort.proper.rmdup.bam,RD_GSJS_050,RD_GSJS_050,GSJS_CS11,93,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_051_R1.sort.proper.rmdup.bam,RD_GSJS_051,RD_GSJS_051,GSJS_CS11,94,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_052_R1.sort.proper.rmdup.bam,RD_GSJS_052,RD_GSJS_052,GSJS_CS11,95,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_053_R1.sort.proper.rmdup.bam,RD_GSJS_053,RD_GSJS_053,GSJS_CS11,96,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_054_R1.sort.proper.rmdup.bam,RD_GSJS_054,RD_GSJS_054,GSJS_CS11,97,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_055_R1.sort.proper.rmdup.bam,RD_GSJS_055,RD_GSJS_055,GSJS_CS11,98,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_056_R1.sort.proper.rmdup.bam,RD_GSJS_056,RD_GSJS_056,GSJS_CS11,99,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_057_R1.sort.proper.rmdup.bam,RD_GSJS_057,RD_GSJS_057,GSJS_CS11,100,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_058_R1.sort.proper.rmdup.bam,RD_GSJS_058,RD_GSJS_058,GSJS_CS11,101,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_059_R1.sort.proper.rmdup.bam,RD_GSJS_059,RD_GSJS_059,GSJS_CS16,102,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_060_R1.sort.proper.rmdup.bam,RD_GSJS_060,RD_GSJS_060,GSJS_CS16,103,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_061_R1.sort.proper.rmdup.bam,RD_GSJS_061,RD_GSJS_061,GSJS_CS16,104,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_062_R1.sort.proper.rmdup.bam,RD_GSJS_062,RD_GSJS_062,GSJS_CS16,105,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_063_R1.sort.proper.rmdup.bam,RD_GSJS_063,RD_GSJS_063,GSJS_CS16,106,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_064_R1.sort.proper.rmdup.bam,RD_GSJS_064,RD_GSJS_064,GSJS_CS16,107,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_065_R1.sort.proper.rmdup.bam,RD_GSJS_065,RD_GSJS_065,GSJS_CS16,108,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_066_R1.sort.proper.rmdup.bam,RD_GSJS_066,RD_GSJS_066,GSJS_CS16,109,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_067_R1.sort.proper.rmdup.bam,RD_GSJS_067,RD_GSJS_067,GSJS_CS16,110,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_069_R1.sort.proper.rmdup.bam,RD_GSJS_069,RD_GSJS_069,GSJS_CS16,112,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_070_R1.sort.proper.rmdup.bam,RD_GSJS_070,RD_GSJS_070,GSJS_CS16,113,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_072_R1.sort.proper.rmdup.bam,RD_GSJS_072,RD_GSJS_072,GSJS_CS16,115,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_073_R1.sort.proper.rmdup.bam,RD_GSJS_073,RD_GSJS_073,GSJS_CS16,116,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_074_R1.sort.proper.rmdup.bam,RD_GSJS_074,RD_GSJS_074,GSJS_CS16,117,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_075_R1.sort.proper.rmdup.bam,RD_GSJS_075,RD_GSJS_075,GSJS_CS16,118,GSJS,Eastern Valleys
